Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7f930af5bc0d926c3845fdca7e2a615477b7d2f124633d8edae7b5ac22151814,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.109248,51.458371,On or near BARNWELL ROAD,E01003071,Lambeth 018D,Investigation complete; no suspect identified
b3e3948c77a59ae35352549e7ca70a4686e1e51a071d99eb9798757b99ebfde5,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.166218,51.526474,On or near MARDYKE CLOSE,E01002368,Havering 028A,Investigation complete; no suspect identified
b2d65f650a5214539208ca5ed695204787a09f77d4e43d1602e8ef89f7e57ffb,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.136657,51.508862,On or near Sports/Recreation Area,E01004736,Westminster 018C,Investigation complete; no suspect identified
5fefa447ce58402ef0d1560696901a9a51c3ec679be18797af871706c34aa0bf,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.212671,51.493427,On or near AURIOL ROAD,E01001871,Hammersmith and Fulham 012E,Investigation complete; no suspect identified
9fb7ddaaf332776ee0480622214a5f345c66b452a2bdf9733f4809cec3070e05,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.187626,51.468934,On or near ALTHEA STREET,E01032788,Hammersmith and Fulham 023D,Investigation complete; no suspect identified
60464b77ec7db7e1dd01a82e8748011d66b586f7fdf8b75ae82ce7f66bbf2314,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.239719,51.511533,On or near PANSY GARDENS,E01001955,Hammersmith and Fulham 002A,Investigation complete; no suspect identified
60464b77ec7db7e1dd01a82e8748011d66b586f7fdf8b75ae82ce7f66bbf2314,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.239719,51.511533,On or near PANSY GARDENS,E01001955,Hammersmith and Fulham 002A,Investigation complete; no suspect identified
e8a660c325244b70382f9b38c3a2939e15d2bb2bfdd0ce83aed3b187279267cb,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.23731,51.532117,On or near SCRUBS LANE,E01000535,Brent 031F,Suspect charged
10ba760a3e6d26fe88db3dd1675296e050da807ccddbc730f0ea84bba35ce79d,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.197092,51.491777,On or near NEVERN SQUARE,E01002848,Kensington and Chelsea 015C,Suspect charged
49731f15d94871667d0cb8d364b75a2e207fba4752dc4874cf46ecdc6a687ad6,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.164637,51.497505,On or near BEAUCHAMP PLACE,E01002818,Kensington and Chelsea 012A,Investigation complete; no suspect identified
668dd2187b1acdd8938e75f9a16f4950e6f3506efe89d3f53cb214b94b8ccb88,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.189367,51.492224,On or near LAVERTON MEWS,E01002834,Kensington and Chelsea 013B,Investigation complete; no suspect identified
818c8fcef298ca8f2cb6c0a4242753ab0bf7f0df8c3b79144df55f852112f8cc,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.199225,51.545158,On or near SILVERDALE DRIVE,E01002264,Havering 026E,Investigation complete; no suspect identified
c1b340405b4fc91abfb0845826d1c3e6347ea523561e60b5f80dbd92676e1abc,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.028508,51.530968,On or near EASTERN ROAD,E01003592,Newham 022B,Suspect charged
a4a6cdcd711b6da4500fb94ec87fa9221692c252a1689d615f9dac10497bea43,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.028508,51.530968,On or near EASTERN ROAD,E01003592,Newham 022B,Suspect charged
0b617cf6b82f836ccc796a5755467558ebe0c016441545633f6ee647975f54a5,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.032155,51.510222,On or near Sports/Recreation Area,E01003515,Newham 036D,Investigation complete; no suspect identified
d0a0ad470bcb2ae2158116789f5cc1f7f6d0093abf94afbf2ad4f18ca0026249,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.009567,51.524514,On or near ALDEN AVENUE,E01003500,Newham 027C,Investigation complete; no suspect identified
05cf4b7e34dfe68e726612bc78b9e6fe5a4fac6ab2f96b8d7b9ee5d5f0f13d7b,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.048273,51.525472,On or near BURFORD ROAD,E01003537,Newham 024C,Investigation complete; no suspect identified
89790f22ca8aa658d15ae3bfa1c83c0a415b51a6a079aa41720cc9a96a6f67d2,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.030547,51.530457,On or near SOUTHERN ROAD,E01003606,Newham 022D,Suspect charged
ed5c33d3cce73a41cab1d7d5c956a299fd811d56602e6861d947dbc0775a390b,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.146735,51.534017,On or near D'ARCY GARDENS,E01000053,Barking and Dagenham 020A,Investigation complete; no suspect identified
04c20bc323507f4dd4e24d49b875ae044bbb205bd5b77957f44b993dee893adc,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.151566,51.556635,On or near STANSGATE ROAD,E01000060,Barking and Dagenham 006B,Investigation complete; no suspect identified
04c20bc323507f4dd4e24d49b875ae044bbb205bd5b77957f44b993dee893adc,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.151566,51.556635,On or near STANSGATE ROAD,E01000060,Barking and Dagenham 006B,Investigation complete; no suspect identified
cfa72388a0481025c05e3b876534874ae37940d1ea53ce7d43a57c554d95e824,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.118315,51.542079,On or near ROWNEY ROAD,E01000076,Barking and Dagenham 012E,Investigation complete; no suspect identified
78fc9cbc97499535f880ebb042f7f527507f122b12428cd550f0bd6b92458575,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.119127,51.54746,On or near ILCHESTER ROAD,E01000074,Barking and Dagenham 012C,Investigation complete; no suspect identified
595e2ef2b7c8e139896af4bebcafd4bd7ccf72f97e0eb890bb626fc091d05e5a,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.175694,51.541379,On or near ROOSEVELT WAY,E01000107,Barking and Dagenham 010C,Investigation complete; no suspect identified
6a4c107842cf8cfa95f227925e145ac84aec7d064d87e6ccec21de760fe98611,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.013507,51.612045,On or near AINSLIE WOOD ROAD,E01004417,Waltham Forest 005C,Investigation complete; no suspect identified
92a6354df1b2c601b432fbc41fe772035130104b2d7f4283104c742a84af92d0,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.055313,51.558475,On or near A107,E01001792,Hackney 011A,Investigation complete; no suspect identified
84f1bfed86cfb1d42b09cd1518cae10a356ae77a7532af5af18e1e3017d0b060,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.071599,51.547261,On or near TYSSEN STREET,E01001748,Hackney 020A,Investigation complete; no suspect identified
23d53d349bf258b7e5978d3b59eebb2bc29e9e04aa158f4ab0e48fa8a24e8898,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.043112,51.550323,On or near BROOKSBY'S WALK,E01001729,Hackney 019A,Investigation complete; no suspect identified
78ea5066b8e34b8198ccd3aeaeb1e97847902c3272b826d32bf6450638308000,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.040737,51.542154,On or near GASCOYNE ROAD,E01001845,Hackney 022E,Suspect charged
715769463929469823bebf9220d0dcfb8f8ed7cabbf10121cf51e9f8d966a12f,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.066413,51.592716,On or near KIRKLAND AVENUE,E01003709,Redbridge 008C,Suspect charged
8ea09048671afb740e52fed38d42a7b4632838255aa421e1e4b8c2296bb699f5,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.05842,51.592839,On or near COUCHMORE AVENUE,E01003707,Redbridge 008A,Investigation complete; no suspect identified
14fa5e579f03c0ec23bd3bf3196f5689f45b149990c6c66868837bc7073c50b0,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.070094,51.516697,On or near OSBORN STREET,E01004306,Tower Hamlets 015A,Suspect charged
beeab90154aa5ac6be5d6d3a0fdfc25a66267b5d845012499d8e9f8f9f5b9d94,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.007403,51.514876,On or near BALMORE CLOSE,E01004249,Tower Hamlets 018D,Investigation complete; no suspect identified
beeab90154aa5ac6be5d6d3a0fdfc25a66267b5d845012499d8e9f8f9f5b9d94,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.007403,51.514876,On or near BALMORE CLOSE,E01004249,Tower Hamlets 018D,Investigation complete; no suspect identified
61059b8a6898e9170e4f1edc2e2bd19b4240806a2d5e1314cfacc314d96a251a,2015-11,Metropolitan Police Service,Metropolitan Police Service,-0.043113,51.532149,On or near ROYAL VICTOR PLACE,E01004234,Tower Hamlets 003E,Investigation complete; no suspect identified
