Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b3de1e891efc7a79a141bd49f73721db53523d6ab17b16317cbf4cfce4c89509,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.102783,51.367044,On or near BRAFFERTON ROAD,E01001166,Croydon 024D,Investigation complete; no suspect identified
da6c9d899bfc590e936a5eed5209d0cc144a977275c255bbef6c4992d6188a09,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.378461,51.502455,On or near PORTLAND ROAD,E01001333,Ealing 038A,Investigation complete; no suspect identified
d3b56cf4cbb6e737cbd2b83e78df137c5706d4b8c369bf8dd8c9b0c9b4e11c16,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.23424,51.592427,On or near WATFORD WAY,E01000239,Barnet 031A,Investigation complete; no suspect identified
809a349cdd2e07dd2bbc8b39ddbaafc2705f7047c88443f777a08259c2a6b047,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.18193,51.516218,On or near CLEVELAND TERRACE,E01004696,Westminster 017D,Investigation complete; no suspect identified
6945deb5c237e087349edc197806e122323d6b80aa697a12f12046dd7700056a,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.165877,51.517578,On or near Supermarket,E01004658,Westminster 012B,Investigation complete; no suspect identified
7bad7cd667c6698635b64cba35593568dcf9f485f733a3eb1f5e35bca52b79f0,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.196008,51.524331,On or near GOLDNEY ROAD,E01004676,Westminster 006A,Investigation complete; no suspect identified
c3662df215df5c64dfb827d3738f575b60012150f41fb29abc45a8cbd6780473,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.197253,51.525303,On or near ELGIN AVENUE,E01004675,Westminster 005B,Investigation complete; no suspect identified
0b4449b02d90a075af8ee47fdc80365cfe4242a065092013d2f4a105f28bc80d,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.160821,51.515727,On or near WYTHBURN PLACE,E01004657,Westminster 012A,Investigation complete; no suspect identified
2fc966b0c203c6c016e5b8641450f76f4a14f6c7c41c81892d7f7680ba222649,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.23814,51.501276,On or near GREENSIDE ROAD,E01001863,Hammersmith and Fulham 006D,Investigation complete; no suspect identified
ad6a0b97a5a9e982a049ceb127dfae41f95ba9843649603a2e6202851b22f7fd,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.197119,51.480123,On or near ARGON MEWS,E01001953,Hammersmith and Fulham 021F,Investigation complete; no suspect identified
27f85be928165f240faed85e4f5296ee6cb189725c2eb0e167b80f7a91c90660,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.233438,51.506619,On or near Supermarket,E01001942,Hammersmith and Fulham 005D,Investigation complete; no suspect identified
31176e7647867ede725064341e0bd60a29ab74dba233313dfc7e181988a84b44,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.183327,51.500683,On or near RESTON PLACE,E01002891,Kensington and Chelsea 010D,Investigation complete; no suspect identified
d2065145ae1be87b3cce81cbbea8f762ba732d2a7c2ab5e9e5491e295c469874,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.172084,51.494672,On or near THURLOE SQUARE,E01002823,Kensington and Chelsea 014B,Investigation complete; no suspect identified
8d1b854a037ca50bdc77715ec38c502c780ee0b90f66c0ab53207d0abb1be3d0,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.175794,51.493758,On or near GLENDOWER PLACE,E01002821,Kensington and Chelsea 014A,Investigation complete; no suspect identified
9bab415c791b358e102a743302b1483948c8560dd0823e7c62944095f8d635fd,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.206488,51.501938,On or near ABBOTSBURY ROAD,E01002868,Kensington and Chelsea 009D,Investigation complete; no suspect identified
7e67a735840feee887e4f53ee85cd06eeaa6071d188388ebc4e1d95b9579e3c9,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.168512,51.487098,On or near Shopping Area,E01002899,Kensington and Chelsea 018A,Investigation complete; no suspect identified
4dee6e9d21883bddb7fc08938675dff25cb9dc2aa4ff92b3db2a3b540c0eed8c,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.205651,51.521421,On or near MORGAN ROAD,E01002854,Kensington and Chelsea 001C,Investigation complete; no suspect identified
1e28f3b973e5747231aedcc1d961d1f7f63ff1f57def55da05db71a318683c37,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.200005,51.490967,On or near PHILBEACH GARDENS,E01002848,Kensington and Chelsea 015C,Investigation complete; no suspect identified
3f2388f1867a51c7d648b8ff651639ac0ad4c78d994a9c19a97dab0457b540e8,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.206374,51.497153,On or near Petrol Station,E01002867,Kensington and Chelsea 009C,Investigation complete; no suspect identified
8ed6ac89d6a6c90a39b5f3382bbd372a277ae7b664248512bd2df4beb4d26270,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.005293,51.523266,On or near TWELVETREES CRESCENT,E01003500,Newham 027C,Investigation complete; no suspect identified
aca24e184887996383533817d57373e378b48c6d2e5b91de41efd340e93f6ee3,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.134932,51.515453,On or near HOLLEN STREET,E01004763,Westminster 013B,Investigation complete; no suspect identified
c30a2799324dc86359263cabf5c4d19c12da5edbad5f98808f220d0e91711e1e,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.129102,51.645301,On or near LAKENHEATH,E01001419,Enfield 020A,Investigation complete; no suspect identified
9902efe795dd106a98a0bcac631be42a19578abe976bf514bb57028dac48dc5f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.153634,51.655886,On or near FAIRGREEN EAST,E01001417,Enfield 011B,Investigation complete; no suspect identified
f86a58faac4eefd006853543ece677316002240eaef53c6a95b8c7da2ca3557f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.107592,51.665486,On or near ARAGON CLOSE,E01001468,Enfield 010B,Investigation complete; no suspect identified
f86a58faac4eefd006853543ece677316002240eaef53c6a95b8c7da2ca3557f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.107592,51.665486,On or near ARAGON CLOSE,E01001468,Enfield 010B,Investigation complete; no suspect identified
622941ab1811ca30efe438cb37a053375d1b4a3a1498db552f955db9d1e557c2,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.050571,51.648061,On or near Bus/Coach Station,E01001508,Enfield 012E,Investigation complete; no suspect identified
7cfd31deef49aa5f9b7e032e1778690613c7dfbde7af45d18a025af70718fe64,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.097057,51.541759,On or near UPNEY LANE,E01000070,Barking and Dagenham 011D,Investigation complete; no suspect identified
b3067258cd924005cb8fcacd2a03f1f055e3eb816a380d128e6f162cc5e8dfc4,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.097057,51.541759,On or near UPNEY LANE,E01000070,Barking and Dagenham 011D,Investigation complete; no suspect identified
084f7a109d5f57f84187da09a1ff19d3e56e45c8e502b1228cc40a7a0b0cb60d,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.135554,51.584985,On or near ROSE LANE,E01000027,Barking and Dagenham 001A,Investigation complete; no suspect identified
c73de1fee9e3f53a440d7ae093bbbb785414fe64f6c1fed6b4604119a79d439b,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.13491,51.552461,On or near WOOD LANE,E01000082,Barking and Dagenham 007E,Investigation complete; no suspect identified
534d31189c194686f1e336a9b3353ed4a1738e16ab967b3d79365aa4d42e1260,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.128927,51.584656,On or near NASH ROAD,E01000028,Barking and Dagenham 001B,Investigation complete; no suspect identified
5fa05feb8fe5cf4f6b2b36acc7ce678c766e8c71f2c5bcf3ae0dd6ebb37cf5be,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.019803,51.563943,On or near VILLIERS CLOSE,E01004428,Waltham Forest 026B,Investigation complete; no suspect identified
7de0c1bf385108b41733c0027b2ed5c7a98890686d69102bfba0a6591c0071bf,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.001275,51.589302,On or near WAVERLEY AVENUE,E01004471,Waltham Forest 013F,Investigation complete; no suspect identified
74920bccf4f92d6b4befb304720951edfbc1c3a38aa4070f19143482fa4d0b4e,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.001041,51.562743,On or near OAKDALE ROAD,E01004374,Waltham Forest 025C,Investigation complete; no suspect identified
5e0e9a36e2f130df2d8bf86d48e29246336bf3da342a340181877b8e0979622f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.01428,51.583066,On or near EAST AVENUE,E01004409,Waltham Forest 016C,Investigation complete; no suspect identified
4bf24f815fc3173733510e2afe1d7b832fbd3c041712b6d1297b040bd7bdc05f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.012984,51.589942,On or near FOREST ROAD,E01004407,Waltham Forest 013A,Investigation complete; no suspect identified
4bf24f815fc3173733510e2afe1d7b832fbd3c041712b6d1297b040bd7bdc05f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.012984,51.589942,On or near FOREST ROAD,E01004407,Waltham Forest 013A,Investigation complete; no suspect identified
98391a9c64b4f36b7a3e3d2bce8f820e1ce011d40b4c016079453b0b272530c3,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.27354,51.559506,On or near WINCHESTER AVENUE,E01002391,Havering 018E,Investigation complete; no suspect identified
6da7920d497c675885df90e01046dab4248146336a1fa5164f18c8d4532d23b3,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.165729,51.612715,On or near Parking Area,E01002305,Havering 005B,Investigation complete; no suspect identified
bcf4c33ba7d93b38004088518d768e2d269512c62a736bb20341a8979142c8f1,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.032234,51.564745,On or near ORIENT WAY,E01004427,Waltham Forest 022E,Investigation complete; no suspect identified
4c9815c7e20f9399f0862091d51c0ce7fb62f6ff5289d580cfec3ffa10686f84,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.007046,51.568268,On or near HAINAULT ROAD,E01004370,Waltham Forest 023B,Investigation complete; no suspect identified
4a3bb492ab3d2a95760e5a0a5b4704a2393b3148682918cd424f0051a4a5a87e,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.015728,51.609475,On or near FRANCES ROAD,E01004418,Waltham Forest 008D,Investigation complete; no suspect identified
807ffafb1f203f673987bd5c6731b19aa7b8ce13c4c9b8a61fa29693ec3c87b4,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.067692,51.552331,On or near CHARTERHOUSE ROAD,E01001745,Hackney 016A,Investigation complete; no suspect identified
11081f1d33954625b9adc1bc83af633b26043acf24dcd9098f53b6bb636a7a09,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.058953,51.543132,On or near ELEANOR ROAD,E01033704,Hackney 023F,Investigation complete; no suspect identified
a62902b29c3ab8fc1ff7320c7cede0aa7d20e788ba1f0afd766340fa2a8408a8,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.063737,51.572095,On or near OVERLEA ROAD,E01001824,Hackney 004D,Investigation complete; no suspect identified
af7743f21174e89ef35431f1723b8ec9be9d4479a7eadc3fcaeb2187bfab47db,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.045896,51.547627,On or near ROSINA STREET,E01001730,Hackney 019B,Investigation complete; no suspect identified
869a22013fa4a46e44f79058e507fa205443c01bacd46f83e587f4e3db9508ed,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.068308,51.54664,On or near STANNARD ROAD,E01001749,Hackney 020B,Investigation complete; no suspect identified
bca542e7cf182a90749f38ea69395e9e85ba3f75561a25812c8b7db46289a930,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.055499,51.567633,On or near SPRINGFIELD GARDENS,E01001827,Hackney 029D,Investigation complete; no suspect identified
368a553333ee4b1496005fa0d8ef5de0a412ac5e2a38a743944db1d28566589c,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.070943,51.553554,On or near APRIL STREET,E01001745,Hackney 016A,Investigation complete; no suspect identified
7e6a28aa5ac0cebe2a1eeed7f99ba100eb76382d27be7e3b0c769a3be3926c16,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.080496,51.537371,On or near DE BEAUVOIR CRESCENT,E01001750,Hackney 021C,Investigation complete; no suspect identified
4fd5ce11cd9a1e635770d156c5dd6b3bdcca99cfb5f246637edf34a754958da9,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.076875,51.571259,On or near GLASERTON ROAD,E01001809,Hackney 001B,Investigation complete; no suspect identified
4fd5ce11cd9a1e635770d156c5dd6b3bdcca99cfb5f246637edf34a754958da9,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.076875,51.571259,On or near GLASERTON ROAD,E01001809,Hackney 001B,Investigation complete; no suspect identified
3826b93cfd4a44f2d944e606ede85568d6731aa77fc3c486d60eedce93ae1704,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.074905,51.54683,On or near ASHWIN STREET,E01033699,Hackney 021G,Investigation complete; no suspect identified
9b03c001def8428eec0a0d689b12a5b4d87edab0dcfaeef52589b108e176ee00,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.053869,51.54329,On or near BRENTHOUSE ROAD,E01001731,Hackney 017A,Investigation complete; no suspect identified
9ffbe6d42e6105b4abe7bac30bdb92f9e73fed207570ab6a3e282884e479dc16,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.083064,51.524967,On or near BLACKALL STREET,E01033708,Hackney 027G,Investigation complete; no suspect identified
e4845d6ada80743b38e29ce91aefd1c2ecca37a58e12a170e25e5a4ff3e7db45,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.023022,51.512316,On or near CANTON STREET,E01004253,Tower Hamlets 024B,Investigation complete; no suspect identified
