Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c78822ddeccafd79b1b480691afcbd33eed2805cbedeeb60570ef24a0bf54d,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c4ed9d934a5cbbee971c7605bc4cec29193314122118d7b0e645f285f6c2d088,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.065317,51.562732,On or near NORTHWOLD ROAD,E01001722,Hackney 029A,Investigation complete; no suspect identified
4a4dc8a263ae3ed1bbcc4ff0ec45cd6de6e46e0a7be493d46df2683a9cfea86e,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.201175,51.536973,On or near DONALDSON ROAD,E01000583,Brent 032D,Investigation complete; no suspect identified
a32000e063e3edcf4cd3f31c3d23a96a3d48524934e4b1c7c4e6d311930d29e4,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.209787,51.508221,On or near PRINCEDALE ROAD,E01002871,Kensington and Chelsea 007B,Investigation complete; no suspect identified
03e233c7ea1b3bc3ffdab7ad44197fe228590dacd4fa7cda5775f2cf778fe738,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.115789,51.476048,On or near MORAT STREET,E01003185,Lambeth 007C,Investigation complete; no suspect identified
f80ab0edab6d7ddc45c1fa9183522654ea2769b3492028da5f2e395af2c9933b,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
59954da800baf20129c80cd0d922ccb8adf8640b3fb1a0dde8e38d4760fdfa7f,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.201906,51.438219,On or near BRAEMAR AVENUE,E01003472,Merton 001A,Investigation complete; no suspect identified
b65a4660ce9332d0fb3913805fb5001fdb0646912a7dd56e78725b47599ba992,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.224615,51.49931,On or near OSMAN ROAD,E01001853,Hammersmith and Fulham 007B,Investigation complete; no suspect identified
45a93d3bc33486d03763905e24d410c315cf9f7b677b109e36cba32e6c342bc6,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.1919,51.476257,On or near PETERBOROUGH VILLAS,E01001924,Hammersmith and Fulham 020E,Investigation complete; no suspect identified
1907fcbdfb8bd3b7238d14da40529fa79ac95a77fe4b9dac57d41404f61a9adb,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.192962,51.470167,On or near SETTRINGTON ROAD,E01001937,Hammersmith and Fulham 025C,Investigation complete; no suspect identified
c84b68100016acc5a562f6515e584055d97242eae103a2befde823987bd0086a,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.202261,51.513798,On or near WESTBOURNE GROVE,E01002832,Kensington and Chelsea 004D,Investigation complete; no suspect identified
