Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6c073e3f8c36c71cc1ad018cee89464520329878aa4b25d990eebd0fbb303f1c,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1c3b164661feef87f54fbb180fbc561c2e4ea52a91208eab802fb474af9d21a1,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.204634,51.472136,On or near Laurel Bank Gardens,E01001951,Hammersmith and Fulham 021E,Investigation complete; no suspect identified
1fbcd753b1fb75aa96a269836d1bacc4e6856b5851453f4026d3a69dfae3912a,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.180566,51.351687,On or near Crossways,E01004092,Sutton 022B,Investigation complete; no suspect identified
d54120f05617ce72b7f33f29e54b3b2cfd5e1cd14dd88f8488c3cc8fede54d55,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.204287,51.383374,On or near Foxton Way,E01004135,Sutton 003D,Investigation complete; no suspect identified
99c096f86cdca6538585bc208cf5427bd574cd39f2fbc49ae488047c91624c64,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.021722,51.446837,On or near ,E01003324,Lewisham 020E,Investigation complete; no suspect identified
d5bdd11af7abddd49cdebff509cb96c0dacde97f66232e3d91192c4686d9f10c,2022-07,Metropolitan Police Service,Metropolitan Police Service,0.00511,51.419717,On or near Hildenborough Gardens,E01032565,Lewisham 038E,Investigation complete; no suspect identified
e6827d800e4ccd6194f3624cfddd051e40b90461f56a2d7fe305a9c52c159ace,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.07254,51.4604,On or near ,E01003953,Southwark 028A,Investigation complete; no suspect identified
55f351e56f71c5ded2ac44840a994258eeb346f75097447137c17af33128fb11,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.110346,51.560652,On or near Medina Road,E01002732,Islington 005A,Investigation complete; no suspect identified
74762ff7e33d052bf6054255322f47392adc6a383be51bcf69add523b41958b8,2022-07,Metropolitan Police Service,Metropolitan Police Service,0.063984,51.554405,On or near Selborne Avenue,E01003577,Newham 005C,Investigation complete; no suspect identified
cf844bb25c1652359182fa867f2d2f870415bc3b9aeb4473ed30449522aca332,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.111214,51.381056,On or near Croydon Grove,E01001011,Croydon 019E,Investigation complete; no suspect identified
ac6371717c9417b4f0a494c50114839ed8dbd91de6cc3376c071575fce05ca36,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.156916,51.499694,On or near ,E01004691,Westminster 019E,Investigation complete; no suspect identified
1cdf3c634faefb9a6f0441242ed64a8553a31f198cf8faa1da8216f93c700d7b,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.093211,51.568836,On or near Springpark Drive,E01001714,Hackney 002A,Investigation complete; no suspect identified
a0aa913a0d20d32eafbaef161c6e3a82344b0dfabd3560d36c2112761c170173,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.083168,51.643229,On or near Ringmer Place,E01001451,Enfield 017A,Investigation complete; no suspect identified
4a5e0732034046cf07334c9288e4f0139f1a8896fbce40896718d4a9b60964c2,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.012744,51.526935,On or near St Leonard's Street,E01004236,Tower Hamlets 008B,Investigation complete; no suspect identified
70e379d399135a55750850dead3d747217a56be707ac2c3ec897a1ef30573d06,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.07357,51.478032,On or near Sumner Road,E01004007,Southwark 018E,Investigation complete; no suspect identified
9267f6df8b38a73a63b9ebc16fed433fcaf0e39c54791cae60db447b5ffb5ea5,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.127576,51.573544,On or near ,E01002758,Islington 001C,Investigation complete; no suspect identified
692204ed4216cb1f2be58ba894e2c52cc544b4fcf260739c4332ad11c7ac0e9a,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.127652,51.564679,On or near Marlborough Yard,E01002809,Islington 003E,Investigation complete; no suspect identified
86e3a6f67c3c8b0205d8ea4f3bbda7ded4e90920d0e7ed1c86063351c7de7816,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.106464,51.530455,On or near Chadwell Street,E01002727,Islington 021C,Investigation complete; no suspect identified
fd1052c201382fdcff4cf083869631b949ddb3b63db6cf6018cd42c168acff07,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.078534,51.547995,On or near Kingsbury Terrace,E01002778,Islington 012B,Investigation complete; no suspect identified
24b8772091f19d7df143ceb46ec4cd1c615144a1a870d7c76de61996404b6271,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.103332,51.544766,On or near Compton Terrace,E01002791,Islington 016E,Investigation complete; no suspect identified
26ff7296a9fd6ff3ec577e90b6a1d864caa04111425ecec92377e4a3b7fa62bf,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.126661,51.572298,On or near Cromartie Road,E01002755,Islington 001A,Investigation complete; no suspect identified
c3c1d61228fe3d2fc600f94a46fe23bcf99754e321b4d85dfb9ca2e529e9761e,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.114974,51.545727,On or near Roman Way,E01002713,Islington 015C,Investigation complete; no suspect identified
ac2bca8fb04de3242935f4fc9e5abc2e38388316fc25485cdf333120aeaf309c,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.119475,51.558298,On or near Bowman's Mews,E01002731,Islington 007B,Investigation complete; no suspect identified
616a8a537b809ef7afb3eb8531634940bc40343adc6ca097f10763b28216e933,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.089305,51.543252,On or near Crowland Terrace,E01002718,Islington 014B,Investigation complete; no suspect identified
5877aeef94f113e04dc94ed4092c301c90ec6800e58e56dfdd74ed46cc116960,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.120102,51.566177,On or near Bracey Street,E01002808,Islington 003D,Investigation complete; no suspect identified
74aa83a753299718cde0a23aafc8acc5e70662ba4f887e88157a904f3751a4ba,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.103405,51.53572,On or near Camden Walk,E01002801,Islington 020C,Investigation complete; no suspect identified
2db119c4ab68454b5b5ae8b3a63f16aff1a3cfe08177083406488d7f6e4d6ca3,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.113945,51.567814,On or near Stonenest Street,E01002805,Islington 003B,Investigation complete; no suspect identified
d907d7334b4be6b98e26c604fdb79f5e070bc690396093fdcd503da0380c5e62,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.108815,51.533578,On or near White Conduit Street,E01002695,Islington 021A,Investigation complete; no suspect identified
ec261e6f2ed3dcfe52f010027ab4202e4958506314616ebf17b9fbbdad9ca93f,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.104693,51.559553,On or near Tannington Terrace,E01033494,Islington 006G,Investigation complete; no suspect identified
463a10dc549bc6ba7dc26dc31800a00ff1b7fb513fe4d361afa66bbc44f3fbd8,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.117764,51.544863,On or near The Drive,E01002712,Islington 015B,Investigation complete; no suspect identified
