Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3b86fb659fcd3a3627d48538dd930d77f656dfedda41dd640e1725d383f769f2,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
91ecd1ed354f7bb31666fb6b4964ec6a3bf23a8bbe5c835420348c31114c61cd,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
449aa3c22927c05107d9636c96edfbc272b7c95ec8305710023452448e1856bb,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b69d5a225ecbc372b3fbbdd2d674f0664b528b4b28b9dee6edf659e8fccc7c26,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
79b232d66b3b3078d120a989ba7983a1eb8be3b24b245c6db4bb4efc3a41201e,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.077144,51.535662,On or near ,E01001754,Hackney 025C,Investigation complete; no suspect identified
3f5848c24a414732514781701582a37ce8eeaa416f757009d9a807d6d2022574,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
712fe0444c74e2f6e5ea3bd9328f92883d26bbe2b0097619198277d69055d999,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.086328,51.542724,On or near Aldersey Gardens,E01000068,Barking and Dagenham 016E,Investigation complete; no suspect identified
3f33bdfda13d8347eb2de96bc45712368e44606b0317937ca928a65c75608d0e,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.026841,51.519656,On or near Nellie Cressall Way,E01004271,Tower Hamlets 014C,Investigation complete; no suspect identified
b4e9087deea959bba06029eef857b4859ad3684be86aa813ccfc937ca26f7fd4,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.149861,51.328526,On or near Meadow Hill,E01004108,Sutton 024C,Investigation complete; no suspect identified
fb508138019165c163b444525bae5335cb64b9dafa2fe8c0407f990980ca89b3,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.01467,51.576113,On or near Livingstone Road,E01004365,Waltham Forest 020A,Investigation complete; no suspect identified
5ff6d7506c8f21d61ed7847cee315b1488b45ec094fdb90594b388a6d7c89164,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.035363,51.58254,On or near Glenthorne Road,E01004391,Waltham Forest 014A,Investigation complete; no suspect identified
032913fc8e7380b714649a02dec40d005f6d5473edf7aa4ef104a04e58f70209,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.023143,51.604339,On or near Walthamstow Avenue (North Circular Road),E01004403,Waltham Forest 009E,Investigation complete; no suspect identified
0e897b378c6b1acebcc1fe40c101a1e91ebb3a5d8f9a2d238fa805ffbed7264c,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.00214,51.589344,On or near Waverley Road,E01004471,Waltham Forest 013F,Investigation complete; no suspect identified
16a6d4e26a70a3af49c0f10417ed0df109926ca765a06f9b723524ab206ada8f,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.163761,51.481024,On or near Ballast Road,E01000407,Bexley 005D,Investigation complete; no suspect identified
005d799995ef72c2cc276e04ba35ca7828bab0fbc55dd57acbe2f2cae222b94a,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.130638,51.580507,On or near Shepherds Close,E01003664,Redbridge 019D,Investigation complete; no suspect identified
9946e5c1437199c7eb096ec81620f3428ed180f9890e13fcd1da1ac2843445cd,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.11607,51.373032,On or near Cabot Close,E01001014,Croydon 024A,Investigation complete; no suspect identified
20107c6dfd5cb8221bd31f6253cf5e92d6abd59ab8a38afced1ef8eaa21d90ec,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
598b47def4cc49361d4bba60caf1adc4e7552a1e358bfeeb39bf635edead956c,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.026387,51.412392,On or near Parkwood,E01000710,Bromley 006B,Investigation complete; no suspect identified
82b7c79f29629372b7c52e08ba4ae5c66b67d9e267c5b95e0c5ebac8d1d4d626,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.060016,51.448214,On or near Buckley Close,E01003260,Lewisham 021C,Investigation complete; no suspect identified
d6ebded9ec7d74439e41afc64bef48df1ad364e09f32080565d5940c9cf270cb,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.021551,51.435134,On or near Knapmill Road,E01003196,Lewisham 029D,Investigation complete; no suspect identified
d7d829dbea82dc3c78b713000a77dfdfa73c8d7b7592224ee9cb276154e7a742,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.003809,51.463889,On or near Belmont Grove,E01003199,Lewisham 007A,Investigation complete; no suspect identified
07f9f4c571907d234a96e79691b39d9f6b163b52a426864b285f26a98c3647c5,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.091501,51.352653,On or near Mayfield Road,E01001034,Croydon 031B,Investigation complete; no suspect identified
2ff77dd1ad30f42b3eaf37feed47183dab5e883059901df37f3b4ed80b99eda5,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.067256,51.391598,On or near Cobden Road,E01001186,Croydon 014C,Investigation complete; no suspect identified
0b0ec025a4bdb3924ee496ebdbf127c3a8913128a6800a4bfebc4cb1f820f1c8,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.08615,51.377655,On or near Cart Lodge Mews,E01000979,Croydon 022E,Investigation complete; no suspect identified
